1000	0,001
2000	0,004
3000	0,01
4000	0,018
5000	0,025
6000	0,037
7000	0,076
8000	0,063
9000	0,08
10000	0,096
11000	0,153
12000	0,173
13000	0,169
14000	0,19
15000	0,317
16000	0,24
17000	0,413
18000	0,471
19000	0,503
20000	0,461
21000	0,595
22000	0,545
23000	0,786
24000	0,833
25000	0,818
26000	1,063
27000	0,99
28000	1,106
29000	1,218
30000	1,293
